|date      |depot_code|depot_location      |transporter               |total_distance|percentage_empty|emptiness_var_cost|total_amount_wasted_per_transporter|transporter_type|contract_ref    |monthly_transporter_cost|
|2024-10-07|EB44      |Witbank             |Makwande                  |337           |19.48           |5.582968          |709.43                             |Secondary       |MKW-WIT-DIR-2022|1,136,722               |
|2024-08-01|EB21      |Waltloo             |Makwande                  |1,312         |10.22           |16.114085         |1,157.11                           |Secondary       |MKW-WAO-DIR-2022|2,598,222               |
|2024-10-28|EA35      |Bethlehem           |Unitrans Supply Chain Sols|127           |14.13           |4.883328          |311.7                              |Secondary       |UNI-BLM-DIR-2022|576,792                 |
|2024-08-23|EB44      |Witbank             |Makwande                  |20            |49.88           |7.147804          |142.96                             |Secondary       |MKW-WIT-DIR-2022|1,136,722               |
|2024-10-17|EB08      |Ladysmith           |Tanker Services Fuel      |634           |9.22            |6.166336          |1,104.02                           |Secondary       |TNK-LAY-DIR-2022|474,936                 |
|2024-08-25|EA33      |Alrode              |Unitrans Supply Chain Sols|1,189         |14.91           |30.932928         |2,789.34                           |Secondary       |UNI-ALR-DIR-2022|2,883,961               |
|2024-09-07|EA35      |Bethlehem           |Unitrans Supply Chain Sols|1,002         |6.37            |3.303936          |1,293.11                           |Secondary       |UNI-BLM-DIR-2022|576,792                 |
|2024-09-28|EB39      |Klerksdorp          |Unitrans Supply Chain Sols|883           |16.99           |8.807616          |2,697.71                           |Secondary       |UNI-KPR-DIR-2022|576,792                 |
|2024-09-28|EB21      |Waltloo             |Makwande                  |74            |8.68            |2.489121          |92.09                              |Secondary       |MKW-WAO-DIR-2022|2,598,222               |
|2024-10-16|EB08      |Ladysmith           |Tanker Services Fuel      |1,052         |16.76           |16.813632         |2,821.92                           |Secondary       |TNK-LAY-DIR-2022|474,936                 |
|2024-08-02|EB44      |Witbank             |Makwande                  |209           |29.75           |4.263175          |891                                |Secondary       |MKW-WIT-DIR-2022|1,136,722               |
|2024-10-26|EB44      |Witbank             |Makwande                  |330           |8.01            |1.147833          |378.78                             |Secondary       |MKW-WIT-DIR-2022|1,136,722               |
|2024-08-06|EB08      |Ladysmith           |Tanker Services Fuel      |819           |8.39            |4.210096          |1,148                              |Secondary       |TNK-LAY-DIR-2022|474,936                 |
